from_station_id,from_station_name,to_station_id,to_station_name,train_count,sample_trains
1004,南京,1001,上海,5,"C3870,D705,G7031,K284,Z198"
1004,南京,1006,南通,10,"C3764,C3768,C3784,C3788,D5424..."
1004,南京,1007,南通西,8,"C3774,C3778,C3854,C3858,C3862..."
1004,南京,1009,常州,88,"1230,1461,D2281,D308,D312..."
1004,南京,1011,徐州,8,"D306,D310,D782,K102,K1512..."
1004,南京,1012,徐州东,1,C3695
1004,南京,1014,盐城,5,"C3665,C3669,T7772,T7776,T7782"
1004,南京,1015,苏州,16,"D701,D781,G7039,G7041,G7057..."
1004,南京,1017,连云港,3,"C3657,C3661,C3673"
1004,南京,1022,杭州,1,D717
1004,南京,1037,芜湖,14,"K101,K1156,K1191,K1328,K136..."
1004,南京,1038,蚌埠,47,"1228,1462,K1048,K1092,K1102..."
1005,南京南,1001,上海,6,"G15,G236,G415,G5,G7262..."
1005,南京南,1003,上海虹桥,20,"G1,G105,G11,G111,G115..."
1005,南京南,1009,常州,54,"D2214,D3008,D3016,D3024,D3044..."
1005,南京南,1010,常州北,63,"G1202,G1212,G1226,G1234,G125..."
1005,南京南,1012,徐州东,44,"G106,G110,G112,G120,G1204..."
1005,南京南,1014,盐城,1,C3883
1005,南京南,1015,苏州,5,"D3012,D3074,G7043,G7178,G7246"
1005,南京南,1016,苏州北,30,"G101,G107,G113,G117,G121..."
1005,南京南,1017,连云港,4,"C3833,C3837,C3841,C3887"
1005,南京南,1022,杭州,8,"D2190,D2194,G1872,G1892,G284..."
1005,南京南,1023,杭州东,77,"D2198,D2293,D3235,D3239,D3295..."
1005,南京南,1030,合肥,32,"G1764,G1826,G1952,G1956,G2808..."
1005,南京南,1031,合肥南,63,"D2188,D2192,D2196,D2212,D2222..."
1005,南京南,1037,芜湖,40,"D5601,D5603,D5605,D5607,D5609..."
1005,南京南,1039,蚌埠南,67,"G104,G114,G116,G1214,G122..."
1006,南通,1001,上海,3,"C3804,C3808,C3816"
1006,南通,1003,上海虹桥,9,"C3704,C3720,C3724,C3728,C3732..."
1006,南通,1004,南京,10,"C3762,C3766,C3782,C3786,D5422..."
1006,南通,1007,南通西,1,G1304
1006,南通,1008,启东,8,"D5424,D5428,D5432,D5436,D5440..."
1006,南通,1014,盐城,5,"K1142,K564,K8600,Z140,Z52"
1006,南通,1031,合肥南,3,"D2268,D3152,D3156"
